Top 10 dominating rows:
cylinders	$displacement	$horsepower	<weight	>acceleration	$model	origin	>mpg	
4	85	70	2070	18.6	78	3	40	
4	79	58	1755	16.9	81	3	40	
4	86	64	1875	16.4	81	1	40	
4	98	76	2144	14.7	80	2	40	
4	85	65	2110	19.2	80	3	40	
4	97	78	2188	15.8	80	2	30	
4	135	84	2370	13	82	1	40	
4	105	63	2215	14.9	81	1	30	
6	262	85	3015	17	82	1	40	
4	89	62	2050	17.3	81	3	40	

 
Bottom 10 dominating rows:
cylinders	$displacement	$horsepower	<weight	>acceleration	$model	origin	>mpg	
8	429	208	4633	11	72	1	10	
8	455	225	4425	10	70	1	10	
8	400	167	4906	12.5	73	1	10	
8	440	215	4735	11	73	1	10	
8	454	220	4354	9	70	1	10	
8	400	175	5140	12	71	1	10	
8	440	215	4312	8.5	70	1	10	
8	455	225	4951	11	73	1	10	
8	429	198	4952	11.5	73	1	10	
8	383	180	4955	11.5	71	1	10	
